country,cases_2019,rate_2019,cases_2020,rate_2020,cases_2021,rate_2021,cases_2022,rate_2022,cases_2023,rate_2023
DRC,3250,3.5,180,0.2,23,0.03,5,0.01,0,0.0
Uganda,0,0.0,0,0.0,0,0.0,164,0.4,0,0.0
Guinea,0,0.0,0,0.0,23,0.2,0,0.0,0,0.0
Liberia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sierra_Leone,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nigeria,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gabon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Congo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
South_Sudan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ivory_Coast,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mali,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Senegal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rwanda,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Burundi,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Central_African_Republic,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Angola,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameroon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kenya,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tanzania,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sudan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
